,x_original,y_original,x_recta,y_recta
0,391,1348,727,498
1,760,417,727,498
2,391,1348,728,497
3,760,417,728,497
4,391,1348,728,496
5,760,417,728,496
6,391,1348,729,495
7,760,417,729,495
8,391,1348,729,494
9,760,417,729,494
10,391,1348,729,493
11,760,417,729,493
12,391,1348,730,492
13,760,417,730,492
14,391,1348,730,491
15,760,417,730,491
16,391,1348,731,490
17,760,417,731,490
18,391,1348,731,489
19,760,417,731,489
20,391,1348,731,488
21,760,417,731,488
22,391,1348,732,487
23,760,417,732,487
24,391,1348,732,486
25,760,417,732,486
26,391,1348,733,485
27,760,417,733,485
28,391,1348,733,484
29,760,417,733,484
30,391,1348,733,483
31,760,417,733,483
32,391,1348,734,482
33,760,417,734,482
34,391,1348,734,481
35,760,417,734,481
36,391,1348,735,480
37,760,417,735,480
38,391,1348,735,479
39,760,417,735,479
40,391,1348,735,478
41,760,417,735,478
42,391,1348,736,477
43,760,417,736,477
44,391,1348,736,476
45,760,417,736,476
46,391,1348,737,475
47,760,417,737,475
48,391,1348,737,474
49,760,417,737,474
50,391,1348,737,473
51,760,417,737,473
52,391,1348,738,472
53,760,417,738,472
54,391,1348,738,471
55,760,417,738,471
56,391,1348,739,470
57,760,417,739,470
58,391,1348,739,469
59,760,417,739,469
60,391,1348,739,468
61,760,417,739,468
62,391,1348,740,467
63,760,417,740,467
64,391,1348,740,466
65,760,417,740,466
66,391,1348,741,465
67,760,417,741,465
68,391,1348,741,464
69,760,417,741,464
70,391,1348,741,463
71,760,417,741,463
72,391,1348,742,462
73,760,417,742,462
74,391,1348,742,461
75,760,417,742,461
76,391,1348,743,460
77,760,417,743,460
78,391,1348,743,459
79,760,417,743,459
80,391,1348,743,458
81,760,417,743,458
82,391,1348,744,457
83,760,417,744,457
84,391,1348,744,456
85,760,417,744,456
86,391,1348,745,455
87,760,417,745,455
88,391,1348,745,454
89,760,417,745,454
90,391,1348,745,453
91,760,417,745,453
92,391,1348,746,452
93,760,417,746,452
94,391,1348,746,451
95,760,417,746,451
96,391,1348,746,450
97,760,417,746,450
98,391,1348,747,449
99,760,417,747,449
100,391,1348,747,448
101,760,417,747,448
102,391,1348,748,447
103,760,417,748,447
104,391,1348,748,446
105,760,417,748,446
106,391,1348,748,445
107,760,417,748,445
108,391,1348,749,444
109,760,417,749,444
110,391,1348,749,443
111,760,417,749,443
112,391,1348,750,442
113,760,417,750,442
114,391,1348,750,441
115,760,417,750,441
116,391,1348,750,440
117,760,417,750,440
118,391,1348,751,439
119,760,417,751,439
120,391,1348,751,438
121,760,417,751,438
122,391,1348,752,437
123,760,417,752,437
124,391,1348,752,436
125,760,417,752,436
126,391,1348,752,435
127,760,417,752,435
128,391,1348,753,434
129,760,417,753,434
130,391,1348,753,433
131,760,417,753,433
132,391,1348,754,432
133,760,417,754,432
134,391,1348,754,431
135,760,417,754,431
136,391,1348,754,430
137,760,417,754,430
138,391,1348,755,429
139,760,417,755,429
140,391,1348,755,428
141,760,417,755,428
142,391,1348,756,427
143,760,417,756,427
144,391,1348,756,426
145,760,417,756,426
146,391,1348,756,425
147,760,417,756,425
148,391,1348,757,424
149,760,417,757,424
150,391,1348,757,423
151,760,417,757,423
152,391,1348,758,422
153,760,417,758,422
154,391,1348,758,421
155,760,417,758,421
156,391,1348,758,420
157,760,417,758,420
158,391,1348,759,419
159,760,417,759,419
160,391,1348,759,418
161,760,417,759,418
162,391,1348,760,417
163,760,417,760,417
164,391,1348,512,509
165,579,37,512,509
166,391,1348,512,508
167,579,37,512,508
168,391,1348,512,507
169,579,37,512,507
170,391,1348,512,506
171,579,37,512,506
172,391,1348,512,505
173,579,37,512,505
174,391,1348,512,504
175,579,37,512,504
176,391,1348,512,503
177,579,37,512,503
