,x_original,y_original,x_recta,y_recta
163,579,37,512,506
165,579,37,512,505
167,579,37,512,504
169,579,37,512,503
171,579,37,513,502
173,579,37,513,501
175,579,37,513,500
177,579,37,513,499
179,579,37,513,498
181,579,37,513,497
183,579,37,513,496
185,579,37,514,495
187,579,37,514,494
189,579,37,514,493
191,579,37,514,492
193,579,37,514,491
195,579,37,514,490
197,579,37,514,489
199,579,37,515,488
201,579,37,515,487
203,579,37,515,486
205,579,37,515,485
207,579,37,515,484
209,579,37,515,483
211,579,37,515,482
213,579,37,516,481
215,579,37,516,480
217,579,37,516,479
219,579,37,516,478
221,579,37,516,477
223,579,37,516,476
225,579,37,517,475
227,579,37,517,474
229,579,37,517,473
231,579,37,517,472
233,579,37,517,471
235,579,37,517,470
237,579,37,517,469
239,579,37,518,468
241,579,37,518,467
243,579,37,518,466
245,579,37,518,465
247,579,37,518,464
249,579,37,518,463
251,579,37,518,462
253,579,37,519,461
255,579,37,519,460
257,579,37,519,459
259,579,37,519,458
261,579,37,519,457
263,579,37,519,456
265,579,37,519,455
267,579,37,520,454
269,579,37,520,453
271,579,37,520,452
273,579,37,520,451
275,579,37,520,450
277,579,37,520,449
279,579,37,520,448
281,579,37,521,447
283,579,37,521,446
285,579,37,521,445
287,579,37,521,444
289,579,37,521,443
291,579,37,521,442
293,579,37,521,441
295,579,37,522,440
297,579,37,522,439
299,579,37,522,438
301,579,37,522,437
303,579,37,522,436
305,579,37,522,435
307,579,37,522,434
309,579,37,523,433
311,579,37,523,432
313,579,37,523,431
315,579,37,523,430
317,579,37,523,429
319,579,37,523,428
321,579,37,523,427
323,579,37,524,426
325,579,37,524,425
327,579,37,524,424
329,579,37,524,423
331,579,37,524,422
333,579,37,524,421
335,579,37,524,420
337,579,37,525,419
339,579,37,525,418
341,579,37,525,417
343,579,37,525,416
345,579,37,525,415
347,579,37,525,414
349,579,37,525,413
351,579,37,526,412
353,579,37,526,411
355,579,37,526,410
357,579,37,526,409
359,579,37,526,408
361,579,37,526,407
363,579,37,526,406
365,579,37,527,405
367,579,37,527,404
369,579,37,527,403
371,579,37,527,402
373,579,37,527,401
375,579,37,527,400
377,579,37,527,399
379,579,37,528,398
381,579,37,528,397
383,579,37,528,396
385,579,37,528,395
387,579,37,528,394
389,579,37,528,393
391,579,37,528,392
393,579,37,529,391
395,579,37,529,390
397,579,37,529,389
399,579,37,529,388
401,579,37,529,387
403,579,37,529,386
405,579,37,529,385
407,579,37,530,384
409,579,37,530,383
411,579,37,530,382
413,579,37,530,381
415,579,37,530,380
417,579,37,530,379
419,579,37,530,378
421,579,37,531,377
423,579,37,531,376
425,579,37,531,375
427,579,37,531,374
429,579,37,531,373
431,579,37,531,372
433,579,37,531,371
435,579,37,532,370
437,579,37,532,369
439,579,37,532,368
441,579,37,532,367
443,579,37,532,366
445,579,37,532,365
447,579,37,532,364
449,579,37,533,363
451,579,37,533,362
453,579,37,533,361
455,579,37,533,360
457,579,37,533,359
459,579,37,533,358
461,579,37,533,357
463,579,37,534,356
465,579,37,534,355
467,579,37,534,354
469,579,37,534,353
471,579,37,534,352
473,579,37,534,351
475,579,37,534,350
477,579,37,535,349
479,579,37,535,348
481,579,37,535,347
483,579,37,535,346
485,579,37,535,345
487,579,37,535,344
489,579,37,535,343
491,579,37,536,342
493,579,37,536,341
495,579,37,536,340
497,579,37,536,339
499,579,37,536,338
501,579,37,536,337
